"max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
103,162,162,162,0,8,0.1840554,162,2.446558,0.3220875
102,162,162,162,3,6,0.1840554,162,2.447499,0.3221406
103,161,162,162,3,7,0.1840554,162,2.399977,0.3194594
107,161,162,162,2,2,0.1840554,162,2.428946,0.3210938
103,161,162,162,1,5,0.1840554,162,2.313638,0.3145883
102,162,162,162,4,10,0.1840554,162,2.444862,0.3219918
101,161,162,162,3,11,0.1840554,162,2.431212,0.3212217
103,161,162,162,3,5,0.1840554,162,2.417417,0.3204433
98,161,162,162,4,12,0.1840554,162,2.383915,0.3185532
98,161,162,162,1,8,0.1840554,162,2.297921,0.3137015
99,162,162,162,1,6,0.1840554,162,2.300359,0.3138391
100,161,162,162,4,12,0.1840554,162,2.453728,0.322492
100,161,162,162,3,7,0.1840554,162,2.356403,0.317001
104,161,162,162,3,12,0.1840554,162,2.484407,0.3242229
101,162,162,162,3,4,0.1840554,162,2.395643,0.3192149
100,162,162,162,2,10,0.1840554,162,2.463402,0.3230378
98,161,162,162,4,6,0.1840554,162,2.403754,0.3196725
101,161,162,162,4,15,0.1840554,162,2.378283,0.3182354
102,162,162,162,3,5,0.1840554,162,2.348783,0.3165711
101,162,162,162,3,7,0.1840554,162,2.429476,0.3211237
102,161,162,162,4,13,0.1840554,162,2.493578,0.3247403
101,161,162,162,3,14,0.1840554,162,2.506088,0.3254461
102,162,162,162,3,15,0.1840554,162,2.443471,0.3219133
100,162,162,162,3,13,0.1840554,162,2.504948,0.3253818
98,162,162,162,3,3,0.1840554,162,2.412023,0.320139
106,162,162,162,3,12,0.1840554,162,2.495685,0.3248591
100,162,162,162,3,6,0.1840554,162,2.469776,0.3233974
101,161,162,162,2,9,0.1840554,162,2.461918,0.3229541
102,161,162,162,2,8,0.1840554,162,2.259145,0.3115138
99,161,162,162,3,4,0.1840554,162,2.23533,0.3101702
97,161,162,162,4,7,0.1840554,162,2.261477,0.3116454
99,161,162,162,0,3,0.1840554,162,2.323206,0.3151281
98,162,162,162,1,2,0.1840554,162,2.269402,0.3120925
100,161,162,162,2,4,0.1840554,162,2.32534,0.3152485
95,162,162,162,3,8,0.1840554,162,2.013262,0.2976414
101,161,162,162,3,6,0.1840554,162,2.020418,0.2980451
95,161,162,162,2,7,0.1840554,162,1.895939,0.2910222
96,161,162,162,2,2,0.1840554,162,2.041767,0.2992496
93,160,162,162,2,5,0.1840554,162,1.67782,0.2787161
96,161,162,162,0,4,0.1840554,162,1.816306,0.2865294
96,161,162,162,3,5,0.1840554,162,1.921927,0.2924884
98,161,162,162,2,5,0.1840554,162,1.892441,0.2908248
101,160,162,162,2,3,0.1840554,162,1.952089,0.2941901
99,160,162,162,0,2,0.1840554,162,1.838345,0.2877728
99,161,162,162,1,2,0.1840554,162,2.0756,0.3011585
102,161,162,162,0,2,0.1840554,162,2.046114,0.2994949
100,161,162,162,2,3,0.1840554,162,1.768677,0.2838422
97,160,162,162,3,7,0.1840554,162,1.859787,0.2889825
95,160,162,157,3,3,0.1840554,162,1.850961,0.2884845
91,160,162,162,0,4,0.1840554,162,1.539015,0.2708849
89,161,162,162,2,6,0.1840554,162,1.857322,0.2888434
97,161,162,162,3,7,0.1840554,162,1.95197,0.2941834
98,162,162,162,2,3,0.1840554,162,2.028939,0.2985259
95,161,162,148,3,9,0.1840554,162,1.929229,0.2929003
99,161,162,162,2,5,0.1840554,162,2.075031,0.3011263
107,162,162,162,2,5,0.1840554,162,2.248357,0.3109052
97,161,162,162,3,9,0.1840554,162,2.109566,0.3030748
103,161,162,162,3,7,0.1840554,162,2.309304,0.3143438
101,161,162,162,0,1,0.1840554,162,2.166047,0.3062614
93,161,162,162,1,4,0.1840554,162,2.026938,0.298413
98,161,162,162,2,8,0.1840554,162,1.964268,0.2948772
97,162,162,162,4,7,0.1840554,162,2.130028,0.3042292
102,161,162,162,3,6,0.1840554,162,2.148077,0.3052475
96,162,162,162,2,7,0.1840554,162,2.033604,0.2987891
92,161,162,162,2,6,0.1840554,162,1.962558,0.2947808
96,161,162,162,2,5,0.1840554,162,1.815842,0.2865032
99,162,162,162,3,5,0.1840554,162,2.033405,0.2987778
100,161,162,162,3,5,0.1840554,162,2.12641,0.3040251
95,162,162,160,2,5,0.1840554,162,1.941129,0.2935718
89,160,162,157,2,2,0.1840554,162,1.800854,0.2856576
94,162,162,149,2,4,0.1840554,162,1.791193,0.2851125
100,162,162,162,0,0,0.1840554,162,1.914082,0.2920457
99,161,162,162,1,2,0.1840554,162,2.065993,0.3006164
96,162,162,162,2,5,0.1840554,162,1.75035,0.2828082
98,161,162,161,1,6,0.1840554,162,2.025798,0.2983487
94,160,162,162,2,6,0.1840554,162,1.87121,0.289627
97,161,162,162,2,2,0.1840554,162,1.815564,0.2864875
92,161,162,162,1,6,0.1840554,162,1.637944,0.2764663
92,160,162,162,0,2,0.1840554,162,1.854035,0.288658
102,161,162,162,3,8,0.1840554,162,1.892944,0.2908532
93,161,162,162,2,6,0.1840554,162,1.85491,0.2887074
96,160,162,162,0,3,0.1840554,162,1.717669,0.2809644
96,161,162,161,3,3,0.1840554,162,1.661785,0.2778114
99,160,162,162,0,0,0.1840554,162,1.854261,0.2886707
104,160,162,162,2,3,0.1840554,162,1.872006,0.2896719
98,161,162,154,0,3,0.1840554,162,1.807652,0.2860411
91,161,162,162,1,3,0.1840554,162,1.724958,0.2813756
86,161,162,102,1,4,0.1840554,162,1.276488,0.2560734
91,160,162,162,1,1,0.1840554,162,1.226301,0.2532419
86,161,162,119,1,2,0.1840554,162,1.099252,0.2460739
92,159,162,158,1,3,0.1840554,162,1.439968,0.2652968
88,159,162,162,0,1,0.1840554,162,1.198842,0.2516927
93,161,162,162,0,0,0.1840554,162,1.577778,0.2730719
94,161,162,154,0,7,0.1840554,162,1.638023,0.2764708
99,160,162,138,1,1,0.1840554,162,1.447336,0.2657125
