"number_invariant_sites","number_invariant_sites_excluding_ambiguous","max_gc","max_gc_excluding_ambiguous","max_invariant_block_length","max_invariant_block_length_excluding_ambiguous","max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_gc","min_gc_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","number_invariable_block","number_invariable_block_excluding_ambiguous","mean_gc","mean_gc_excluding_ambiguous","mean_gc_1","mean_gc_1_excluding_ambiguous","mean_gc_2","mean_gc_2_excluding_ambiguous","mean_gc_3","mean_gc_3_excluding_ambiguous","var_gc","var_gc_excluding_ambiguous","var_gc_1","var_gc_1_excluding_ambiguous","var_gc_2","var_gc_2_excluding_ambiguous","var_gc_3","var_gc_3_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
0,0,0,0,0,0,105,161,162,162,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.413772,0.3202377
0,0,0,0,0,0,98,160,162,162,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.370172,0.3177779
0,0,0,0,0,0,102,162,162,162,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.296344,0.3136125
0,0,0,0,0,0,107,162,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.431729,0.3212508
0,0,0,0,0,0,103,162,162,162,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.331078,0.3155722
0,0,0,0,0,0,100,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.273245,0.3123093
0,0,0,0,0,0,100,162,162,162,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.315732,0.3147064
0,0,0,0,0,0,99,162,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.346199,0.3164253
0,0,0,0,0,0,96,161,162,162,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.164868,0.3061948
0,0,0,0,0,0,102,161,162,162,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.360034,0.3172059
